timestamp,label,score,confidence,score_mvrv_ratio,raw_mvrv_ratio
2025-11-26,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6019
2025-11-27,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.618
2025-11-28,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6124
2025-11-29,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6098
2025-11-30,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6059
2025-12-01,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.534
2025-12-02,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6234
2025-12-03,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6594
2025-12-04,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6347
2025-12-05,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5846
2025-12-06,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5826
2025-12-07,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5985
2025-12-08,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6096
2025-12-09,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.647
2025-12-10,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6326
2025-12-11,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6416
2025-12-12,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.602
2025-12-13,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.6004
2025-12-14,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5626
2025-12-15,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5335
2025-12-16,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5583
2025-12-17,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5291
2025-12-18,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5184
2025-12-19,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5669
2025-12-20,SIDEWAYS/TRANSITIONAL,0.0,HIGH,0.0,1.5699
